Date,Price,Open,High,Low,Vol.,Change %
04/14/2021,1290.77,1277.31,1290.77,1263.89,207.52K,1.05%
04/13/2021,1277.35,1278.31,1298.78,1276.74,255.77K,-0.07%
04/12/2021,1278.19,1254.39,1279.52,1254.39,267.96K,1.99%
04/09/2021,1253.26,1251.71,1256.06,1245.26,173.79K,0.12%
04/08/2021,1251.81,1257.75,1263.03,1249.45,161.34K,-0.47%
04/07/2021,1257.77,1255.36,1257.77,1248.15,213.31K,0.19%
04/06/2021,1255.36,1248.43,1260.35,1245.16,222.98K,0.44%
04/05/2021,1249.9,1240.24,1256.12,1240.24,219.16K,0.96%
04/02/2021,1238.03,1226.84,1243.67,1226.84,199.25K,0.97%
04/01/2021,1226.16,1196.62,1227.56,1196.39,222.24K,2.50%
03/31/2021,1196.24,1190.86,1203.18,1189.47,171.90K,0.45%
03/30/2021,1190.86,1180.21,1192.9,1175.9,217.51K,0.91%
03/29/2021,1180.07,1167.3,1182.06,1167.3,145.67K,1.10%
03/26/2021,1167.19,1164.38,1170.75,1143.08,172.71K,0.22%
03/25/2021,1164.64,1165.8,1175.86,1159.25,165.90K,-0.08%
03/24/2021,1165.61,1186.04,1186.04,1157.69,190.25K,-1.80%
03/23/2021,1186.98,1198.49,1198.49,1182.22,155.69K,-0.96%
03/22/2021,1198.54,1204,1207.28,1194.79,161.30K,-0.40%
03/19/2021,1203.36,1211.08,1211.08,1201.17,171.42K,-0.68%
03/18/2021,1211.54,1193.71,1211.54,1193.71,155.17K,1.52%
03/17/2021,1193.45,1188.31,1193.45,1183.83,193.60K,0.47%
03/16/2021,1187.84,1191.08,1192.15,1177.05,163.86K,-0.25%
03/15/2021,1190.86,1187.84,1194.29,1184.32,149.68K,0.26%
03/12/2021,1187.81,1188.74,1193.97,1184.64,147.25K,-0.08%
03/11/2021,1188.71,1172.94,1190.47,1172.94,167.31K,1.40%
03/10/2021,1172.26,1163.43,1173.58,1154.29,156.01K,0.80%
03/09/2021,1163,1169.89,1169.89,1150.18,159.98K,-0.60%
03/08/2021,1170,1175.19,1186.29,1164.78,164.93K,-0.33%
03/05/2021,1173.83,1174.36,1174.8,1157.45,205.21K,-0.04%
03/04/2021,1174.29,1195.62,1200.42,1164.63,183.13K,-1.78%
03/03/2021,1195.6,1194.78,1198.36,1189.14,154.44K,0.07%
03/02/2021,1194.71,1192.6,1203.84,1188.01,169.42K,0.24%
03/01/2021,1191.83,1173.72,1192.85,1173.72,191.03K,1.55%
02/26/2021,1173.6,1169.37,1175.4,1153.41,178.99K,0.32%
02/25/2021,1169.82,1168.22,1175.19,1158.06,158.38K,0.23%
02/24/2021,1167.18,1182.76,1192.04,1161.13,178.72K,-1.29%
02/23/2021,1182.47,1180.38,1191.74,1174.18,195.05K,0.16%
02/22/2021,1180.55,1180.48,1190.48,1172.71,175.26K,0.00%
02/19/2021,1180.59,1186.7,1188.61,1168.18,166.18K,-0.62%
02/18/2021,1187.94,1174.8,1187.94,1162.48,183.25K,1.11%
02/17/2021,1174.91,1130.19,1174.91,1130.19,174.12K,4.02%
02/09/2021,1129.49,1092.67,1129.49,1089.85,173.19K,3.38%
02/08/2021,1092.59,1135.5,1136.38,1077.4,228.47K,-3.78%
02/05/2021,1135.5,1117.92,1135.5,1117.92,139.78K,1.59%
02/04/2021,1117.74,1117.52,1126.64,1103.11,155.64K,-0.02%
02/03/2021,1117.98,1080.23,1122.04,1080.23,204.90K,3.55%
02/02/2021,1079.7,1029.55,1079.87,1025.18,162.84K,4.84%
02/01/2021,1029.86,1048.01,1068.93,1029.21,175.34K,-1.76%
01/29/2021,1048.31,1009.96,1070.05,978.85,242.65K,3.72%
01/28/2021,1010.75,1080.83,1080.83,1008.53,282.13K,-6.73%
01/27/2021,1083.63,1122.92,1125.25,1073.74,241.01K,-3.69%
01/26/2021,1125.09,1153.94,1155.32,1107.54,236.71K,-2.53%
01/25/2021,1154.29,1156.55,1164.7,1149.26,198.48K,-0.20%
01/22/2021,1156.58,1151.3,1164.45,1147.88,210.39K,0.46%
01/21/2021,1151.3,1116.21,1152.9,1114.26,204.60K,3.14%
01/20/2021,1116.21,1108.92,1121.97,1073.13,262.60K,0.80%
01/19/2021,1107.32,1173.27,1173.61,1098.47,324.71K,-5.63%
01/18/2021,1173.34,1183.25,1188.53,1171.96,199.29K,-0.75%
01/15/2021,1182.2,1169.27,1185.46,1169.27,211.72K,1.13%
01/14/2021,1168.99,1165.22,1169.97,1156.58,229.62K,0.38%
01/13/2021,1164.57,1169.16,1178.44,1161.87,187.36K,-0.38%
01/12/2021,1169.03,1163.44,1169.38,1155.9,202.52K,0.48%
01/11/2021,1163.4,1148.06,1165.99,1148.06,222.79K,1.35%
01/08/2021,1147.86,1131,1156.38,1131,220.09K,1.53%
01/07/2021,1130.59,1113.88,1130.59,1113.88,215.40K,1.51%
01/06/2021,1113.72,1105.74,1125.63,1104.99,225.23K,0.85%
01/05/2021,1104.3,1090.71,1106.29,1086.07,191.64K,1.14%
01/04/2021,1091.87,1072.44,1097.61,1072.44,233.73K,1.97%
12/31/2020,1070.77,1059.16,1074.02,1058.9,136.03K,1.10%
12/30/2020,1059.16,1059.2,1069.5,1055.25,173.02K,0.07%
12/29/2020,1058.39,1054.23,1062.61,1050.05,153.42K,0.39%
12/28/2020,1054.23,1053.37,1063.09,1047.45,190.25K,0.20%
12/25/2020,1052.13,1033.86,1052.16,1026.05,161.86K,1.76%
12/24/2020,1033.95,1045.97,1051.56,1013.9,212.71K,-1.12%
12/23/2020,1045.7,1053.89,1058.91,1043.88,203.33K,-0.62%
12/22/2020,1052.23,1051.17,1053.81,1043.8,204.62K,0.24%
12/21/2020,1049.71,1038,1052.85,1038,187.66K,1.26%
12/18/2020,1036.65,1016.95,1037.98,1016.95,183.61K,1.94%
12/17/2020,1016.95,1028.63,1028.63,1015.86,226.64K,-1.24%
12/16/2020,1029.72,1013.66,1029.72,1013.66,178.53K,1.65%
12/15/2020,1013.02,1024.4,1025.34,1009.8,173.34K,-1.10%
12/14/2020,1024.28,1008.86,1024.28,1008.86,160.38K,1.55%
12/11/2020,1008.65,994.34,1008.65,994.29,127.66K,1.45%
12/10/2020,994.28,1004.42,1008.6,994.28,173.56K,-0.97%
12/09/2020,1004.03,993.61,1004.61,993.61,180.90K,1.05%
12/08/2020,993.61,992.01,996.64,988.71,153.45K,0.16%
12/07/2020,992.01,984.25,992.59,984.07,148.30K,0.78%
12/04/2020,984.34,985.91,988.68,983.03,182.02K,-0.11%
12/03/2020,985.44,980.17,986.4,978.16,183.52K,0.56%
12/02/2020,979.95,976.27,981.28,973.58,187.86K,0.37%
12/01/2020,976.35,963.57,976.44,951.92,213.41K,1.08%
11/30/2020,965.89,971.39,975.46,965.89,168.72K,-0.54%
11/27/2020,971.11,964.32,971.11,963.69,142.66K,0.72%
11/26/2020,964.16,960.29,964.16,953.46,156.14K,0.37%
11/25/2020,960.63,959.68,963.81,957.09,175.12K,0.11%
11/24/2020,959.61,959.99,964.53,948.67,184.87K,-0.04%
11/23/2020,960.03,950.98,961.35,946.14,164.65K,0.96%
11/20/2020,950.89,944.85,950.89,942.28,125.70K,0.63%
11/19/2020,944.92,938.6,945.06,936.32,166.09K,0.77%
11/18/2020,937.67,935.24,939.62,931.18,153.57K,0.32%
11/17/2020,934.65,916.25,934.65,916.25,129.18K,2.04%
11/16/2020,915.97,931.4,939.1,915.23,173.01K,-1.64%
11/13/2020,931.2,923.04,931.2,923,122.99K,0.89%
11/12/2020,923,916.89,923,916.21,85.35K,0.69%
11/11/2020,916.68,916.98,919.95,910.39,114.39K,0.02%
11/10/2020,916.5,917.45,929.66,916.5,137.87K,-0.10%
11/09/2020,917.42,902.91,917.42,902.91,108.93K,1.61%
11/06/2020,902.91,903.68,907.67,899.51,79.12K,-0.08%
11/05/2020,903.64,905.55,913.2,903.64,97.63K,-0.20%
11/04/2020,905.48,902.38,910.59,900.74,112.22K,0.37%
11/03/2020,902.14,899.73,904.78,897.3,110.88K,0.32%
11/02/2020,899.27,892.68,900.03,889.83,83.56K,0.75%
10/30/2020,892.55,887.34,893.42,875.84,130.03K,0.66%
10/29/2020,886.68,887.99,894.19,879.74,151.63K,-0.25%
10/28/2020,888.88,913.31,916,888.88,183.44K,-2.90%
10/27/2020,915.46,919.56,926.52,914.72,189.91K,-0.45%
10/26/2020,919.56,929.5,942.72,919.56,167.43K,-1.15%
10/23/2020,930.3,918.84,930.59,918.84,163.04K,1.31%
10/22/2020,918.3,906.1,918.3,901.96,133.65K,1.35%
10/21/2020,906.1,909.49,918.14,905.08,152.21K,-0.37%
10/20/2020,909.49,903.57,909.49,899.42,179.99K,0.66%
10/19/2020,903.51,899.61,906.16,899.61,142.17K,0.21%
10/16/2020,901.59,899.58,906.17,892.7,157.35K,0.27%
10/15/2020,899.2,896.5,901.71,893.94,167.59K,0.79%
